"","occurrences","deaths","injured","affected","homeless","total.affected","total.damage","country.names","location.lon","location.lat"
"89",22,45,0,5975,0,5975,678050,"Ireland",-8.24389,53.41291
"90",15,105,3262,2021762,0,2025024,982750,"Israel",34.851612,31.046051
"91",139,140836,13829,2197050,1785135,3996014,88615263,"Italy",12.56738,41.87194
"92",54,2680,251,2611261,154030,2765542,2868122,"Jamaica",-77.297508,18.109581
"93",336,244677,292378,18608462,489914,19390754,437794500,"Japan",138.252924,36.204824
"94",16,588,358,352415,2500,355273,403400,"Jordan",36.238414,30.585164
"95",21,237,1347,784549,8762,794658,285570,"Kazakhstan",66.923684,48.019573
"96",103,6660,3587,58902615,6200,58912402,259888,"Kenya",37.906193,-0.023559
"97",6,20,0,86772,85,86857,0,"Kiribati",-157.3630262,1.8708833
"98",39,2802,2808,33395803,1322727,34721338,23653310,"Korea ",127.766922,35.907757
"99",113,9010,4225,6018427,809666,6832318,16341257,"Korea ",127.766922,35.907757
"100",2,2,0,201,0,201,0,"Kuwait",47.481766,29.31166
"101",28,438,453,2207558,62896,2270907,217760,"Kyrgyzstan",74.766098,41.20438
"102",45,1449,540,9288554,1017645,10306739,577559,"Lao People's Democratic Republic ",102.495496,19.85627
"103",8,92,0,102,0,102,325500,"Latvia",24.603189,56.879635
"104",11,627,1040,1119942,4000,1124982,165000,"Lebanon",35.862285,33.854721
"105",22,123,1,3110941,3620,3114562,1000,"Lesotho",28.233608,-29.609988
"106",24,5494,10682,1577372,5840,1593894,47000,"Liberia",-9.429499,6.428055
"107",4,336,0,2000,0,2000,47200,"Libya",17.228331,26.3351
"108",12,99,0,780000,0,780000,313573,"Lithuania",23.881275,55.169438
"109",11,170,0,0,0,0,421000,"Luxembourg",6.129583,49.815273
"110",5,0,38,1201,2748,3987,0,"Macao",113.543873,22.198745
"111",21,65,93,1278985,150,1279228,349163,"Macedonia ",21.745275,41.608635
"112",75,4710,5087,14679857,1119607,15804551,2301801,"Madagascar",46.869107,-18.766947
"113",63,3090,1633,26920399,386359,27308391,450489,"Malawi",34.301525,-13.254308
"114",73,1443,844,3788466,74546,3863856,2215100,"Malaysia",101.975766,4.210484
"115",6,325,2214,26496,36849,65559,506100,"Maldives",73.5361035,1.977247
"116",58,4068,57,7171084,78872,7250013,0,"Mali",-3.996166,17.570692
"117",5,6,0,7562,6000,13562,0,"Marshall Islands ",171.9425583,6.0683017
"118",17,30096,119,57100,3200,60419,649010,"Martinique",-61.024174,14.641528
"119",40,243,336,7550904,58157,7609397,59500,"Mauritania",-10.940835,21.00789
"120",22,81,1996,1017510,12500,1032006,801373,"Mauritius",57.552152,-20.348404
"121",249,23285,37277,17993934,992376,19023587,44462210,"Mexico",-102.552784,23.634501
"122",9,77,159,74531,1375,76065,17500,"Micronesia ",158.2150717,6.8874813
"123",15,89,80,2876323,26349,2902752,800184,"Moldova ",28.369885,47.411631
"124",25,1525,68,4469874,20150,4490092,2000164,"Mongolia",103.846656,46.862496
"125",5,1,0,12386,0,12386,0,"Montenegro",19.37439,42.708678
"126",8,43,40,13200,12000,25240,268000,"Montserrat",-62.187366,16.742498
"127",53,14692,25985,1899106,53487,1978578,2051159,"Morocco",-7.09262,31.791702
"128",100,106226,7449,31908471,651490,32567410,1131150,"Mozambique",35.529562,-18.665695
"129",67,146373,20801,16110751,630908,16762460,4853413,"Myanmar",95.955974,21.916221
"130",28,555,518,2806306,0,2806824,135490,"Namibia",18.49041,-22.95764
"131",121,32877,29165,15480484,258439,15768088,5921155,"Nepal",84.124008,28.394857
"132",34,4016,61,565260,0,565321,4830700,"Netherlands ",5.291266,52.132633
"133",4,13,0,40000,0,40000,1050000,"Netherlands Antilles",-68.2623822,12.2018902
"134",17,20,100,2437,1000,3537,43900,"New Caledonia",165.618042,-20.904305
"135",67,7406,1597,665714,700,668011,26714035,"New Zealand",174.885971,-40.900557
"136",77,17249,21467,4112921,384192,4518580,2749959,"Nicaragua",-85.207229,12.865416
"137",85,195212,5025,28041707,222339,28269071,260039,"Niger ",8.081666,17.607789
"138",114,26756,1904,12934778,871302,13807984,718525,"Nigeria",8.675277,9.081999
"139",6,2,2,6297,500,6799,41541,"Niue",-169.867233,-19.054445
"140",4,3,10,550,300,860,0,"Northern Mariana Islands ",145.6739,15.0979
"141",11,78,100,6600,0,6700,563000,"Norway",8.468946,60.472024
"142",10,276,329,31050,1500,32879,5172000,"Oman",55.975413,21.4735329
"143",199,176799,163118,81701452,9662740,91527310,28296969,"Pakistan",69.345116,30.375321
"144",1,0,0,0,0,0,0,"Palau",134.58252,7.51498
"145",8,10,100,95964,500,96564,0,"Palestine, State of",35.233154,31.952162
"146",54,386,1636,330238,19800,351674,312550,"Panama",-80.782127,8.537981
"147",75,7191,1050,3993320,189900,4184270,267003,"Papua New Guinea",143.95555,-6.314993
"148",49,310,202,3538964,102000,3641166,153557,"Paraguay",-58.443832,-23.442503
"149",171,96607,2064251,18359176,672639,21096066,3201650,"Peru",-75.015152,-9.189967
"150",597,69664,211666,199908380,6123573,206243619,26220398,"Philippines ",121.774017,12.879721
"151",51,2356,175,309250,63824,373249,8152050,"Poland",19.145136,51.919438
"152",39,3452,559,196848,10604,208011,6706236,"Portugal",-8.224454,39.399872
"153",30,1403,0,179120,1051,180171,3728000,"Puerto Rico",-66.590149,18.220833
"154",160,61624,15832,4612795,85824,4714451,11291996,"Russian Federation ",105.318756,61.52401
"155",37,981,911,6148075,12920,6161906,9,"Rwanda",29.873888,-1.940278
"156",13,239,466,175450,3400,179316,254000,"Réunion",NA,NA
"157",1,0,0,300,0,300,0,"Saint Helena, Ascension and Tristan da Cunha",-5.7115281,-15.9656004
